"term_normalized"
"python"
"javascript"
"postgresql"
"html"
"css"
"docker"
"sql"
"git"
"rest apis"
"pandas"
"numpy"
"ci/cd"
"php"
"mysql"
"adobe"
"generative ai"
"ia"
"api"
"apis"
"bancos de dados"
"back-end"
"deploy"
"deployment"
"front-end"
"fullstack"
"git/github"
"github"
"actions"
"copilot"
"gpt"
"openapi"
"pipelines"
"pipeline"
"pytest"
"requests"
"responsividade"
"scalability"
"testing"
"ui/ux"
"ui"
"ux"
"version control"
"controle de versão"
"wordPress"
"acessibilidade"
"adaptability"
"ambientes containerizados"
"artificial intelligence"
"automação"
"automation"
"scrapers"
"clean code"
"html5"
"css3"
"json"
"maria db"
"prompt"
"solidworks"
"rhino"
"illustrator"
"photoshop"
"premier"
"indesign"
"rhinoceros"
"3d printing"
"impressão 3d"
"dashboards"
"dashboard"
"escalabilidade"
"inteligência artificial"
"genai"
"versionamento"
"inglês"
"english"
"german"
"alemão"
"roadmaps"
"roadmap"
"desenvolvimento de produtos"
"desenvolvimento de produto"
"design"
"industrial design"
"design industrial"
"product design"
"figma"
"user experience"
"user interface"
"apenai"
"continuous integration"
"continuous deployment"
"js"
"ai training"
"ai"
"clean"
"logging"
"debugging"
"b2"
"portuguese"
"p&d"
"r&d"
"excel"
"kpi"
"bancos relacionais"
"bancos de dados relacionais"
"cad"
"word"
"escaneamento 3D"
"scanners 3D"
"meshmixer"
"frontend"
"backend"
"containerização"
"mensageria"
"chatgpt"
"midjourney"
"creative suite"
"corel"
"edição de vídeo"
"selenium"
"containers"
"google sheets"
"powerpoint"
"c1"
"master's"
"design thinking"
"pesquisa com usuários"
"prototipação"
"user research"
"automações"
"integração contínua"
"logs"
"full stack"
"usabilidade"
"usability"
"experiência do usuário"
"web scraping"
"scraping"
"ms"
"kpis"
"performance"
"testes automatizados"
"creo"
"grasshoper"
"master’s"
"spoken"
"written"
"métricas"
"banco de dados"
"pacote office"
"lógica de programação"
"lógica"
"manufacturing"
"3d modeling"
"premiere"
"availability"
"security"
"optimization"
"estabilidade"
"ia generativa"
"openai"
